iso3,country,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016,adult_diabetes_1999,adult_diabetes_2000,adult_diabetes_2001,adult_diabetes_2002,adult_diabetes_2003,adult_diabetes_2004,adult_diabetes_2005,adult_diabetes_2006,adult_diabetes_2007,adult_diabetes_2008,adult_diabetes_2009,adult_diabetes_2010,adult_diabetes_2011,adult_diabetes_2012,adult_diabetes_2013,adult_diabetes_2014
BIH,Bosnia and Herzegovina,10.49,10.81,11.15,11.49,11.83,12.19,12.55,12.92,13.3,13.68,14.08,14.48,14.89,15.31,15.75,16.2,16.67,17.15,6.46,6.67,6.87,7.05,7.20,7.32,7.41,7.48,7.54,7.59,7.64,7.70,7.78,7.83,7.89,7.96
BLR,Belarus,13.88,14.31,14.75,15.2,15.66,16.13,16.6,17.09,17.58,18.07,18.56,19.05,19.55,20.05,20.56,21.07,21.59,22.11,6.27,6.37,6.47,6.58,6.70,6.82,6.95,7.07,7.19,7.31,7.43,7.54,7.66,7.78,7.90,8.01
BLZ,Belize,9.34,9.71,10.08,10.45,10.83,11.21,11.59,11.97,12.36,12.76,13.18,13.6,14.03,14.49,14.96,15.45,15.96,16.49,7.59,7.76,7.94,8.10,8.26,8.42,8.56,8.70,8.84,8.97,9.11,9.27,9.45,9.63,9.81,10.00
BOL,Bolivia (Plurinational State of),7.89,8.22,8.55,8.89,9.23,9.58,9.94,10.31,10.68,11.07,11.46,11.87,12.28,12.71,13.14,13.59,14.05,14.52,5.51,5.58,5.66,5.73,5.80,5.87,5.94,6.03,6.12,6.22,6.32,6.43,6.55,6.67,6.81,6.95
BRA,Brazil,10.54,10.99,11.44,11.88,12.33,12.77,13.22,13.67,14.12,14.58,15.04,15.51,15.99,16.47,16.96,17.47,17.99,18.51,6.56,6.65,6.73,6.81,6.88,6.97,7.05,7.13,7.22,7.30,7.37,7.46,7.53,7.62,7.71,7.80
BRB,Barbados,7.72,8.07,8.41,8.77,9.12,9.49,9.85,10.23,10.61,11.01,11.41,11.83,12.27,12.72,13.18,13.67,14.17,14.7,7.57,7.76,7.94,8.13,8.32,8.51,8.70,8.89,9.09,9.28,9.47,9.67,9.87,10.07,10.29,10.51
BRN,Brunei Darussalam,4.99,5.3,5.62,5.95,6.31,6.68,7.07,7.47,7.89,8.33,8.79,9.27,9.76,10.27,10.8,11.35,11.92,12.51,8.39,8.51,8.63,8.75,8.85,8.94,9.02,9.09,9.14,9.16,9.18,9.18,9.18,9.19,9.19,9.21
BTN,Bhutan,1.38,1.5,1.63,1.77,1.92,2.08,2.25,2.43,2.62,2.81,3.02,3.23,3.45,3.68,3.92,4.17,4.44,4.71,8.66,8.96,9.25,9.54,9.82,10.08,10.33,10.56,10.78,10.99,11.17,11.34,11.50,11.66,11.80,11.94
BWA,Botswana,3.66,3.91,4.15,4.39,4.63,4.87,5.11,5.36,5.6,5.85,6.11,6.37,6.63,6.91,7.2,7.5,7.82,8.15,5.35,5.50,5.64,5.76,5.88,5.99,6.10,6.22,6.37,6.52,6.67,6.84,7.02,7.19,7.38,7.57
CAF,Central African Republic,1.59,1.67,1.75,1.84,1.93,2.03,2.13,2.24,2.35,2.47,2.59,2.72,2.86,3.01,3.16,3.33,3.51,3.7,4.96,5.11,5.26,5.43,5.60,5.78,5.97,6.17,6.38,6.61,6.84,7.08,7.31,7.56,7.76,7.98
