iso3,country,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016,adult_diabetes_1999,adult_diabetes_2000,adult_diabetes_2001,adult_diabetes_2002,adult_diabetes_2003,adult_diabetes_2004,adult_diabetes_2005,adult_diabetes_2006,adult_diabetes_2007,adult_diabetes_2008,adult_diabetes_2009,adult_diabetes_2010,adult_diabetes_2011,adult_diabetes_2012,adult_diabetes_2013,adult_diabetes_2014
ITA,Italy,13.64,14.01,14.38,14.75,15.12,15.5,15.88,16.25,16.63,17.01,17.39,17.78,18.16,18.54,18.93,19.33,19.73,20.13,5.87,5.96,6.05,6.14,6.22,6.30,6.38,6.46,6.53,6.61,6.67,6.74,6.82,6.89,6.97,7.05
JAM,Jamaica,7.49,7.84,8.2,8.57,8.95,9.35,9.76,10.18,10.62,11.07,11.53,12.01,12.51,13.02,13.56,14.11,14.69,15.29,6.26,6.44,6.62,6.80,6.98,7.16,7.34,7.53,7.73,7.93,8.13,8.34,8.57,8.79,9.03,9.28
JOR,Jordan,17.92,18.47,19.02,19.56,20.11,20.66,21.22,21.79,22.38,22.97,23.59,24.21,24.85,25.49,26.15,26.82,27.49,28.18,11.69,11.99,12.30,12.59,12.89,13.19,13.48,13.78,14.09,14.42,14.76,15.11,15.46,15.81,16.16,16.51
JPN,Japan,1.78,1.86,1.96,2.08,2.21,2.36,2.52,2.69,2.88,3.07,3.27,3.48,3.69,3.9,4.12,4.34,4.57,4.8,7.25,7.34,7.44,7.55,7.66,7.77,7.87,7.97,8.05,8.12,8.17,8.22,8.25,8.29,8.32,8.36
KAZ,Kazakhstan,11.32,11.67,12.04,12.4,12.78,13.16,13.56,13.97,14.39,14.83,15.27,15.73,16.21,16.71,17.22,17.75,18.3,18.87,8.76,8.94,9.13,9.34,9.55,9.78,10.01,10.25,10.50,10.76,11.00,11.26,11.51,11.78,12.06,12.36
KEN,Kenya,1.08,1.15,1.22,1.29,1.36,1.44,1.53,1.62,1.71,1.81,1.92,2.03,2.14,2.27,2.4,2.54,2.69,2.84,4.03,4.13,4.24,4.34,4.45,4.56,4.68,4.80,4.93,5.05,5.17,5.29,5.41,5.54,5.67,5.82
KGZ,Kyrgyzstan,7.38,7.63,7.91,8.2,8.51,8.83,9.17,9.53,9.9,10.3,10.7,11.12,11.56,12.02,12.5,12.99,13.51,14.05,6.56,6.71,6.87,7.04,7.22,7.42,7.62,7.82,8.04,8.27,8.51,8.77,9.06,9.33,9.63,9.93
KHM,Cambodia,0.81,0.87,0.94,1.02,1.09,1.18,1.26,1.36,1.46,1.56,1.67,1.79,1.92,2.06,2.21,2.37,2.54,2.72,4.89,5.03,5.18,5.34,5.50,5.67,5.84,6.02,6.21,6.39,6.56,6.72,6.88,7.05,7.23,7.42
KIR,Kiribati,28.25,29.21,30.13,31.03,31.89,32.72,33.53,34.3,35.05,35.78,36.5,37.22,37.93,38.65,39.37,40.1,40.83,41.56,16.78,17.34,17.86,18.36,18.82,19.24,19.61,19.92,20.21,20.49,20.74,20.99,21.23,21.48,21.74,22.01
KNA,Saint Kitts and Nevis,7.82,8.14,8.47,8.81,9.17,9.53,9.91,10.31,10.73,11.16,11.6,12.07,12.56,13.06,13.59,14.15,14.72,15.33,8.29,8.54,8.80,9.09,9.37,9.65,9.95,10.24,10.54,10.84,11.13,11.43,11.74,12.05,12.36,12.69
KWT,Kuwait,23.66,24.14,24.63,25.12,25.63,26.15,26.68,27.22,27.77,28.34,28.92,29.51,30.11,30.73,31.35,31.99,32.63,33.29,15.11,15.34,15.56,15.80,16.08,16.39,16.73,17.07,17.42,17.76,18.08,18.38,18.69,19.01,19.33,19.66
LAO,Lao People's Democratic Republic,0.79,0.87,0.95,1.05,1.15,1.27,1.39,1.53,1.68,1.85,2.03,2.22,2.43,2.65,2.89,3.16,3.44,3.74,5.23,5.40,5.58,5.75,5.93,6.10,6.27,6.44,6.60,6.76,6.92,7.08,7.25,7.41,7.57,7.73
LBN,Lebanon,18.07,18.56,19.05,19.54,20.04,20.54,21.06,21.58,22.11,22.65,23.21,23.78,24.36,24.95,25.55,26.16,26.79,27.43,8.78,8.97,9.18,9.43,9.70,10.01,10.36,10.73,11.13,11.56,12.00,12.46,12.94,13.44,13.95,14.47
LBR,Liberia,2.63,2.69,2.77,2.87,2.98,3.12,3.26,3.42,3.58,3.76,3.94,4.13,4.33,4.54,4.76,4.99,5.23,5.49,5.57,5.66,5.79,5.96,6.11,6.26,6.41,6.55,6.70,6.85,7.00,7.16,7.31,7.46,7.62,7.79
LBY,Libya,15.78,16.21,16.65,17.1,17.56,18.04,18.53,19.04,19.56,20.1,20.65,21.22,21.8,22.4,23.02,23.65,24.29,24.96,10.51,10.75,11.00,11.28,11.58,11.89,12.23,12.58,12.94,13.32,13.68,14.05,14.22,14.56,14.89,15.20
LCA,Saint Lucia,6.57,6.85,7.13,7.39,7.65,7.91,8.16,8.42,8.67,8.94,9.21,9.49,9.81,10.17,10.57,11.01,11.49,12.01,6.85,7.16,7.47,7.79,8.13,8.51,8.91,9.35,9.81,10.30,10.81,11.34,11.88,12.48,13.10,13.74
LKA,Sri Lanka,0.89,0.95,1.02,1.09,1.17,1.25,1.34,1.44,1.54,1.65,1.77,1.89,2.03,2.17,2.33,2.49,2.67,2.86,4.64,4.78,4.91,5.05,5.19,5.34,5.49,5.64,5.80,5.95,6.11,6.28,6.45,6.63,6.82,7.02
LSO,Lesotho,1.66,1.77,1.89,2.01,2.14,2.28,2.42,2.58,2.74,2.91,3.09,3.28,3.48,3.69,3.91,4.14,4.39,4.65,4.48,4.65,4.82,5.00,5.17,5.35,5.54,5.72,5.91,6.10,6.30,6.49,6.67,6.87,7.09,7.31
LTU,Lithuania,16.88,17.25,17.63,18.02,18.41,18.81,19.22,19.64,20.06,20.5,20.93,21.38,21.83,22.29,22.75,23.21,23.68,24.16,7.02,7.02,7.04,7.08,7.15,7.24,7.36,7.48,7.63,7.80,7.95,8.12,8.31,8.51,8.71,8.92
LUX,Luxembourg,15.47,15.95,16.43,16.92,17.42,17.94,18.46,18.98,19.51,20.04,20.58,21.12,21.67,22.22,22.78,23.34,23.92,24.5,6.83,6.82,6.81,6.80,6.79,6.78,6.77,6.77,6.77,6.78,6.80,6.83,6.87,6.90,6.93,6.97
LVA,Latvia,14.68,15.02,15.37,15.73,16.1,16.49,16.88,17.28,17.69,18.1,18.51,18.93,19.36,19.79,20.23,20.68,21.13,21.6,6.62,6.63,6.65,6.67,6.70,6.74,6.80,6.86,6.95,7.05,7.15,7.26,7.40,7.53,7.68,7.83
MAR,Morocco,10.14,10.55,10.98,11.42,11.86,12.32,12.8,13.3,13.82,14.36,14.93,15.51,16.12,16.74,17.39,18.05,18.73,19.42,8.69,9.00,9.32,9.65,9.98,10.32,10.67,11.01,11.36,11.72,12.09,12.47,12.85,13.24,13.64,14.04
MDA,Republic of Moldova,9.99,10.29,10.59,10.9,11.22,11.55,11.89,12.23,12.58,12.94,13.3,13.67,14.06,14.45,14.86,15.28,15.71,16.16,5.03,5.15,5.29,5.44,5.61,5.79,5.98,6.17,6.36,6.55,6.73,6.91,7.11,7.31,7.53,7.76
MDG,Madagascar,1.09,1.16,1.22,1.29,1.37,1.45,1.53,1.62,1.71,1.82,1.93,2.05,2.18,2.32,2.47,2.63,2.8,2.98,4.58,4.70,4.82,4.92,5.04,5.15,5.26,5.38,5.50,5.62,5.73,5.85,5.96,6.07,6.19,6.32
MDV,Maldives,1.42,1.52,1.65,1.79,1.94,2.12,2.31,2.53,2.76,3.02,3.3,3.6,3.92,4.25,4.61,5,5.4,5.83,7.50,7.84,8.20,8.59,8.95,9.25,9.52,9.74,9.93,10.11,10.27,10.47,10.68,10.81,10.94,11.06
MEX,Mexico,15.67,16.14,16.63,17.11,17.6,18.1,18.6,19.09,19.59,20.1,20.6,21.12,21.63,22.15,22.68,23.21,23.76,24.31,9.21,9.35,9.48,9.61,9.73,9.84,9.95,10.06,10.16,10.25,10.34,10.43,10.54,10.64,10.75,10.87
MHL,Marshall Islands,36.59,37.28,37.98,38.68,39.38,40.08,40.79,41.49,42.19,42.89,43.59,44.29,44.98,45.67,46.37,47.05,47.74,48.41,17.43,17.73,18.02,18.31,18.57,18.81,19.04,19.26,19.47,19.67,19.85,20.03,20.20,20.39,20.57,20.76
MKD,The former Yugoslav Republic of Macedonia,15.36,15.73,16.1,16.48,16.85,17.23,17.62,18.01,18.42,18.84,19.27,19.71,20.16,20.63,21.11,21.6,22.11,22.63,6.33,6.39,6.44,6.50,6.56,6.62,6.69,6.77,6.86,6.96,7.05,7.14,7.25,7.36,7.47,7.60
MLI,Mali,1.54,1.64,1.75,1.87,2,2.14,2.28,2.43,2.6,2.77,2.95,3.14,3.34,3.56,3.79,4.03,4.29,4.56,5.25,5.42,5.60,5.79,5.99,6.20,6.41,6.62,6.85,7.07,7.29,7.51,7.72,7.93,8.14,8.36
MLT,Malta,20.74,21.23,21.72,22.21,22.71,23.2,23.7,24.19,24.68,25.17,25.67,26.16,26.65,27.15,27.64,28.14,28.64,29.15,8.24,8.34,8.44,8.53,8.62,8.69,8.75,8.79,8.84,8.87,8.89,8.92,8.94,8.97,9.01,9.05
MMR,Myanmar,1.14,1.23,1.33,1.43,1.54,1.66,1.79,1.93,2.08,2.24,2.41,2.6,2.8,3.01,3.24,3.49,3.75,4.03,4.69,4.82,4.95,5.09,5.24,5.39,5.54,5.70,5.86,6.02,6.18,6.33,6.47,6.62,6.76,6.91
MNE,Montenegro,13.89,14.48,15.06,15.65,16.24,16.83,17.42,18,18.55,19.1,19.63,20.15,20.67,21.19,21.7,22.21,22.73,23.26,5.98,6.12,6.27,6.41,6.54,6.66,6.77,6.89,7.00,7.10,7.17,7.25,7.33,7.40,7.49,7.57
MNG,Mongolia,8.32,8.61,8.94,9.3,9.71,10.16,10.64,11.15,11.7,12.28,12.88,13.5,14.13,14.78,15.45,16.13,16.82,17.52,8.06,8.23,8.42,8.63,8.85,9.10,9.36,9.63,9.91,10.21,10.51,10.82,11.14,11.47,11.81,12.17
MOZ,Mozambique,1.41,1.49,1.58,1.66,1.75,1.84,1.93,2.03,2.13,2.23,2.34,2.45,2.57,2.7,2.83,2.97,3.12,3.28,4.70,4.85,5.01,5.16,5.31,5.44,5.57,5.69,5.79,5.89,6.00,6.10,6.21,6.32,6.44,6.56
MRT,Mauritania,2.64,2.81,2.98,3.17,3.36,3.56,3.77,3.98,4.21,4.44,4.68,4.93,5.18,5.45,5.73,6.02,6.32,6.63,6.36,6.51,6.66,6.80,6.95,7.10,7.25,7.41,7.57,7.71,7.84,7.96,8.09,8.21,8.33,8.46
MUS,Mauritius,3.15,3.27,3.39,3.51,3.63,3.75,3.88,4.01,4.14,4.28,4.42,4.56,4.71,4.87,5.04,5.21,5.4,5.59,10.91,11.07,11.21,11.36,11.49,11.62,11.75,11.86,11.98,12.10,12.22,12.34,12.46,12.59,12.72,12.86
MWI,Malawi,0.89,0.95,1,1.06,1.12,1.18,1.25,1.31,1.38,1.46,1.53,1.61,1.7,1.79,1.88,1.98,2.09,2.21,4.46,4.60,4.73,4.85,4.98,5.10,5.23,5.36,5.49,5.63,5.78,5.94,6.09,6.26,6.44,6.62
MYS,Malaysia,4.42,4.78,5.17,5.57,5.98,6.42,6.87,7.34,7.82,8.32,8.84,9.38,9.94,10.51,11.11,11.72,12.35,12.99,8.58,8.84,9.09,9.33,9.56,9.77,9.97,10.16,10.35,10.52,10.68,10.84,10.99,11.14,11.29,11.44
NAM,Namibia,2.64,2.8,2.97,3.16,3.36,3.57,3.8,4.05,4.31,4.59,4.89,5.21,5.54,5.9,6.27,6.66,7.08,7.52,4.69,4.87,5.05,5.23,5.42,5.62,5.81,6.00,6.18,6.35,6.51,6.67,6.83,6.99,7.15,7.32
NER,Niger,0.95,1,1.06,1.12,1.18,1.25,1.32,1.4,1.48,1.56,1.65,1.75,1.85,1.96,2.07,2.2,2.33,2.47,4.34,4.47,4.59,4.70,4.82,4.92,5.03,5.13,5.22,5.32,5.42,5.52,5.61,5.72,5.82,5.94
NGA,Nigeria,1.61,1.72,1.83,1.94,2.07,2.21,2.35,2.5,2.67,2.84,3.02,3.21,3.41,3.63,3.85,4.09,4.35,4.62,4.51,4.61,4.71,4.82,4.94,5.07,5.20,5.33,5.46,5.59,5.72,5.84,5.96,6.07,6.19,6.30
NIC,Nicaragua,10.14,10.52,10.91,11.31,11.72,12.13,12.56,12.99,13.43,13.88,14.34,14.82,15.3,15.8,16.31,16.84,17.38,17.93,7.17,7.33,7.48,7.63,7.78,7.93,8.08,8.21,8.34,8.47,8.58,8.70,8.82,8.95,9.08,9.23
NLD,Netherlands,11.48,11.95,12.45,12.96,13.49,14.03,14.59,15.15,15.71,16.27,16.84,17.41,17.97,18.53,19.09,19.65,20.22,20.78,4.88,4.96,5.02,5.08,5.13,5.17,5.19,5.21,5.22,5.22,5.20,5.19,5.20,5.19,5.18,5.17
NOR,Norway,14.53,15.04,15.55,16.06,16.57,17.09,17.61,18.12,18.64,19.17,19.69,20.23,20.77,21.32,21.88,22.45,23.02,23.61,5.92,6.01,6.08,6.15,6.20,6.24,6.26,6.27,6.28,6.27,6.25,6.24,6.23,6.22,6.22,6.23
NPL,Nepal,0.86,0.92,0.99,1.07,1.15,1.23,1.32,1.41,1.51,1.61,1.72,1.83,1.95,2.08,2.22,2.36,2.51,2.68,8.00,8.29,8.58,8.87,9.15,9.43,9.69,9.94,10.17,10.41,10.62,10.84,11.04,11.25,11.47,11.69
NRU,Nauru,50.32,50.83,51.34,51.85,52.36,52.87,53.37,53.88,54.38,54.88,55.38,55.87,56.35,56.84,57.31,57.78,58.24,58.7,31.28,31.27,31.25,31.21,31.18,31.04,30.88,30.66,30.44,30.40,30.30,30.22,30.15,30.11,30.08,30.08
NZL,New Zealand,19.66,20.24,20.82,21.4,22,22.59,23.2,23.8,24.4,25.01,25.62,26.24,26.86,27.48,28.12,28.76,29.41,30.08,7.25,7.32,7.38,7.44,7.49,7.55,7.59,7.63,7.66,7.69,7.72,7.75,7.78,7.81,7.85,7.90
OMN,Oman,12.87,13.32,13.77,14.22,14.68,15.15,15.64,16.16,16.72,17.31,17.93,18.58,19.26,19.96,20.67,21.41,22.16,22.93,9.98,10.25,10.51,10.78,11.05,11.32,11.59,11.87,12.16,12.48,12.79,13.11,13.41,13.72,14.02,14.33
PAK,Pakistan,2.27,2.41,2.55,2.71,2.87,3.04,3.22,3.41,3.61,3.82,4.05,4.28,4.53,4.8,5.07,5.37,5.68,6.01,8.81,9.06,9.32,9.58,9.83,10.10,10.36,10.62,10.87,11.12,11.36,11.61,11.85,12.09,12.33,12.58
PAN,Panama,9.81,10.27,10.74,11.19,11.64,12.09,12.54,12.98,13.42,13.87,14.32,14.78,15.26,15.74,16.23,16.74,17.27,17.81,6.76,6.90,7.02,7.15,7.27,7.39,7.51,7.64,7.78,7.92,8.06,8.21,8.37,8.54,8.72,8.90
PER,Peru,8.97,9.28,9.6,9.93,10.26,10.6,10.94,11.29,11.65,12.01,12.38,12.76,13.14,13.53,13.93,14.34,14.75,15.17,6.16,6.18,6.21,6.23,6.26,6.30,6.35,6.42,6.50,6.59,6.68,6.78,6.87,6.99,7.11,7.23
PHL,Philippines,2.17,2.3,2.42,2.56,2.69,2.84,2.99,3.14,3.31,3.48,3.66,3.85,4.05,4.26,4.48,4.72,4.97,5.24,5.67,5.75,5.83,5.92,6.00,6.10,6.19,6.28,6.38,6.48,6.57,6.65,6.74,6.83,6.94,7.05
PLW,Palau,38.73,39.3,39.94,40.65,41.41,42.23,43.09,43.95,44.83,45.7,46.55,47.4,48.2,48.97,49.71,50.42,51.11,51.77,21.28,21.56,21.86,22.17,22.48,22.80,23.09,23.37,23.62,23.84,24.02,24.18,24.33,24.49,24.63,24.78
PNG,Papua New Guinea,9.1,9.42,9.76,10.11,10.47,10.86,11.25,11.66,12.08,12.52,12.98,13.45,13.93,14.43,14.95,15.49,16.04,16.62,10.43,10.71,10.99,11.27,11.56,11.85,12.15,12.46,12.77,13.10,13.43,13.78,14.15,14.54,14.94,15.36
POL,Poland,15.6,16.01,16.44,16.87,17.31,17.76,18.22,18.69,19.16,19.64,20.12,20.61,21.11,21.61,22.12,22.63,23.16,23.7,6.41,6.50,6.59,6.69,6.79,6.90,7.03,7.16,7.29,7.44,7.59,7.74,7.89,8.05,8.22,8.39
PRK,Democratic People's Republic of Korea,2.85,2.99,3.13,3.27,3.42,3.58,3.75,3.92,4.09,4.28,4.47,4.67,4.88,5.1,5.33,5.57,5.82,6.09,5.05,5.06,5.07,5.08,5.10,5.13,5.16,5.20,5.24,5.30,5.35,5.42,5.49,5.57,5.66,5.75
PRT,Portugal,11.53,12,12.47,12.96,13.44,13.93,14.43,14.94,15.44,15.96,16.48,17.01,17.54,18.08,18.63,19.18,19.75,20.33,6.33,6.48,6.64,6.80,6.95,7.09,7.22,7.36,7.50,7.63,7.76,7.89,8.02,8.15,8.29,8.43
PRY,Paraguay,9.18,9.6,10.03,10.47,10.9,11.35,11.8,12.26,12.71,13.17,13.63,14.1,14.58,15.07,15.57,16.08,16.61,17.15,5.92,6.08,6.23,6.37,6.51,6.64,6.76,6.88,6.99,7.11,7.24,7.38,7.54,7.68,7.84,8.01
PSE,State of Palestine,16.29,16.81,17.33,17.85,18.38,18.91,19.46,20.01,20.57,21.14,21.73,22.33,22.95,23.57,24.22,24.88,25.55,26.23,10.19,10.56,10.93,11.32,11.74,12.18,12.62,13.04,13.45,13.83,14.25,14.68,15.11,15.58,16.05,16.52
QAT,Qatar,21.74,22.29,22.85,23.42,23.99,24.57,25.16,25.77,26.39,27.02,27.68,28.35,29.02,29.69,30.38,31.06,31.76,32.46,13.44,13.74,14.06,14.40,14.74,15.11,15.47,15.84,16.21,16.58,16.96,17.35,17.74,18.13,18.53,18.94
ROU,Romania,14.61,15,15.41,15.83,16.27,16.72,17.19,17.68,18.18,18.7,19.24,19.78,20.35,20.92,21.51,22.11,22.73,23.36,5.27,5.36,5.46,5.57,5.68,5.80,5.92,6.05,6.19,6.34,6.49,6.64,6.80,6.95,7.12,7.29
RUS,Russian Federation,11.68,11.99,12.31,12.64,12.98,13.33,13.69,14.05,14.43,14.81,15.19,15.59,15.99,16.39,16.8,17.22,17.65,18.08,6.14,6.18,6.24,6.31,6.38,6.46,6.53,6.62,6.71,6.80,6.89,6.99,7.09,7.19,7.30,7.42
RWA,Rwanda,0.57,0.62,0.67,0.72,0.78,0.84,0.9,0.96,1.04,1.11,1.19,1.27,1.36,1.46,1.56,1.67,1.79,1.91,2.58,2.69,2.81,2.93,3.05,3.17,3.29,3.40,3.51,3.63,3.74,3.84,3.94,4.06,4.17,4.29
SAU,Saudi Arabia,19.57,20.13,20.7,21.28,21.87,22.47,23.08,23.71,24.35,25.02,25.69,26.38,27.09,27.8,28.53,29.27,30.02,30.78,12.79,13.06,13.34,13.61,13.89,14.18,14.48,14.77,15.08,15.42,15.76,16.11,16.48,16.85,17.23,17.61
SDN,Sudan,1.76,1.85,1.94,2.04,2.13,2.23,2.33,2.44,2.54,2.66,2.77,2.89,3.02,3.16,3.3,3.45,3.61,3.78,6.36,6.54,6.71,6.87,7.02,7.16,7.28,7.40,7.52,7.63,7.74,7.85,7.97,8.09,8.20,8.31
SEN,Senegal,1.76,1.85,1.95,2.04,2.14,2.25,2.36,2.47,2.59,2.71,2.84,2.97,3.12,3.27,3.43,3.6,3.78,3.97,5.73,5.84,5.96,6.08,6.21,6.35,6.49,6.62,6.75,6.87,6.98,7.09,7.19,7.29,7.40,7.52
SGP,Singapore,3.33,3.44,3.56,3.68,3.8,3.92,4.06,4.19,4.33,4.48,4.62,4.78,4.94,5.11,5.28,5.46,5.64,5.84,9.57,9.54,9.49,9.43,9.36,9.30,9.24,9.21,9.19,9.19,9.19,9.21,9.25,9.28,9.32,9.36
SLB,Solomon Islands,9.04,9.42,9.82,10.24,10.67,11.12,11.58,12.07,12.57,13.09,13.63,14.18,14.76,15.35,15.97,16.6,17.25,17.92,9.59,9.81,10.00,10.18,10.37,10.56,10.75,10.94,11.12,11.32,11.51,11.71,11.94,12.17,12.40,12.63
SLE,Sierra Leone,1.56,1.65,1.74,1.84,1.94,2.05,2.16,2.27,2.39,2.52,2.65,2.79,2.93,3.08,3.25,3.42,3.61,3.81,5.11,5.22,5.33,5.44,5.56,5.68,5.81,5.94,6.07,6.20,6.33,6.47,6.61,6.76,6.92,7.10
SLV,El Salvador,10.06,10.56,11.06,11.56,12.06,12.56,13.05,13.55,14.05,14.55,15.06,15.58,16.1,16.64,17.19,17.74,18.31,18.9,7.70,7.88,8.05,8.19,8.32,8.44,8.54,8.63,8.71,8.79,8.85,8.94,9.04,9.12,9.21,9.30
SOM,Somalia,1.62,1.71,1.8,1.9,2,2.11,2.23,2.35,2.47,2.6,2.74,2.88,3.04,3.2,3.37,3.55,3.74,3.94,5.42,5.56,5.71,5.86,6.01,6.16,6.30,6.44,6.57,6.69,6.81,6.93,7.05,7.17,7.30,7.44
SRB,Serbia,13.24,13.66,14.08,14.51,14.95,15.4,15.85,16.31,16.77,17.24,17.7,18.17,18.64,19.12,19.59,20.07,20.56,21.06,5.88,5.98,6.09,6.20,6.31,6.41,6.51,6.60,6.70,6.78,6.86,6.94,7.03,7.10,7.19,7.27
STP,Sao Tome and Principe,2.75,2.94,3.13,3.34,3.56,3.79,4.02,4.27,4.52,4.78,5.05,5.33,5.61,5.91,6.21,6.53,6.86,7.2,7.16,7.26,7.34,7.42,7.50,7.58,7.66,7.74,7.81,7.89,7.97,8.05,8.13,8.20,8.27,8.35
SUR,Suriname,11.29,11.68,12.08,12.48,12.9,13.32,13.75,14.18,14.62,15.06,15.51,15.96,16.42,16.9,17.38,17.88,18.39,18.92,8.34,8.48,8.63,8.80,8.98,9.17,9.35,9.53,9.71,9.89,10.06,10.22,10.38,10.56,10.75,10.95
SVK,Slovakia,14.01,14.37,14.73,15.1,15.48,15.86,16.25,16.65,17.05,17.46,17.87,18.29,18.72,19.15,19.59,20.03,20.49,20.95,6.24,6.31,6.40,6.50,6.61,6.72,6.84,6.97,7.11,7.25,7.39,7.54,7.69,7.84,8.00,8.17
SVN,Slovenia,12.65,13,13.36,13.73,14.1,14.47,14.85,15.23,15.62,16.01,16.41,16.81,17.22,17.63,18.05,18.49,18.93,19.38,5.89,5.96,6.04,6.12,6.20,6.27,6.34,6.42,6.50,6.60,6.70,6.81,6.94,7.05,7.17,7.29
SWE,Sweden,14.76,15.2,15.64,16.09,16.55,17,17.46,17.93,18.41,18.89,19.38,19.88,20.38,20.9,21.42,21.96,22.51,23.06,5.66,5.71,5.75,5.79,5.83,5.86,5.88,5.90,5.90,5.89,5.87,5.86,5.85,5.85,5.84,5.85
SWZ,Eswatini,2.45,2.57,2.7,2.83,2.96,3.1,3.24,3.39,3.55,3.71,3.88,4.07,4.26,4.46,4.67,4.9,5.14,5.4,5.23,5.40,5.56,5.72,5.88,6.04,6.20,6.35,6.52,6.69,6.87,7.05,7.25,7.45,7.65,7.86
SYC,Seychelles,3.82,3.97,4.13,4.3,4.48,4.66,4.85,5.05,5.26,5.47,5.69,5.92,6.17,6.42,6.69,6.97,7.27,7.58,7.80,7.97,8.14,8.32,8.49,8.65,8.81,8.98,9.15,9.31,9.46,9.62,9.78,9.94,10.12,10.30
SYR,Syrian Arab Republic,11.22,11.65,12.1,12.57,13.05,13.55,14.06,14.59,15.14,15.71,16.29,16.89,17.51,18.14,18.8,19.47,20.16,20.86,9.55,9.82,10.09,10.36,10.62,10.88,11.15,11.41,11.71,12.01,12.34,12.71,13.06,13.37,13.66,13.97
TCD,Chad,1.28,1.35,1.42,1.5,1.58,1.67,1.75,1.85,1.94,2.04,2.15,2.26,2.38,2.5,2.63,2.78,2.93,3.09,5.12,5.30,5.48,5.66,5.84,6.05,6.25,6.45,6.63,6.81,6.99,7.17,7.35,7.52,7.70,7.89
TGO,Togo,1.5,1.59,1.69,1.79,1.89,2.01,2.12,2.25,2.37,2.51,2.64,2.79,2.94,3.11,3.28,3.46,3.65,3.86,5.27,5.41,5.55,5.69,5.84,5.98,6.12,6.25,6.39,6.51,6.63,6.75,6.87,6.99,7.12,7.25
THA,Thailand,1.84,1.96,2.11,2.27,2.45,2.66,2.89,3.14,3.41,3.71,4.04,4.39,4.76,5.15,5.57,6.02,6.49,6.98,5.93,6.09,6.25,6.42,6.59,6.75,6.92,7.09,7.25,7.42,7.57,7.72,7.86,8.01,8.15,8.29
TJK,Tajikistan,5.96,6.15,6.35,6.58,6.82,7.08,7.36,7.65,7.97,8.3,8.65,9.02,9.4,9.8,10.21,10.65,11.1,11.57,5.96,6.12,6.31,6.52,6.76,7.02,7.30,7.59,7.89,8.20,8.52,8.84,9.17,9.52,9.89,10.27
TKM,Turkmenistan,8.32,8.64,8.98,9.33,9.69,10.07,10.46,10.87,11.3,11.74,12.2,12.67,13.16,13.67,14.19,14.73,15.29,15.87,7.41,7.61,7.82,8.05,8.30,8.56,8.84,9.15,9.47,9.82,10.19,10.58,11.00,11.43,11.88,12.35
TLS,Timor-Leste,0.71,0.77,0.83,0.9,0.97,1.05,1.13,1.22,1.32,1.42,1.54,1.66,1.79,1.94,2.1,2.26,2.45,2.64,4.55,4.63,4.72,4.80,4.87,4.93,4.98,5.02,5.06,5.10,5.15,5.19,5.24,5.28,5.33,5.38
TON,Tonga,28.24,28.97,29.7,30.45,31.2,31.96,32.72,33.49,34.27,35.05,35.83,36.62,37.41,38.2,39,39.8,40.6,41.41,15.67,16.13,16.59,17.04,17.49,17.92,18.34,18.74,19.13,19.52,19.91,20.30,20.69,21.09,21.49,21.91
TTO,Trinidad and Tobago,5.13,5.41,5.69,5.98,6.26,6.55,6.84,7.14,7.45,7.77,8.09,8.43,8.78,9.15,9.53,9.94,10.36,10.8,5.75,5.98,6.23,6.49,6.76,7.05,7.35,7.67,7.99,8.32,8.65,8.98,9.32,9.67,10.03,10.41
TUN,Tunisia,10.38,10.81,11.24,11.68,12.13,12.59,13.06,13.55,14.04,14.55,15.07,15.6,16.15,16.7,17.28,17.87,18.48,19.1,8.05,8.28,8.54,8.80,9.08,9.35,9.62,9.89,10.16,10.44,10.71,10.99,11.26,11.54,11.83,12.13
TUR,Turkey,13.87,14.37,14.89,15.42,15.97,16.53,17.11,17.7,18.31,18.93,19.57,20.22,20.88,21.55,22.24,22.93,23.65,24.37,8.19,8.48,8.79,9.11,9.45,9.81,10.16,10.50,10.84,11.17,11.48,11.79,12.09,12.41,12.73,13.05
TUV,Tuvalu,32.07,32.88,33.71,34.55,35.4,36.25,37.12,38.01,38.91,39.82,40.74,41.66,42.58,43.49,44.39,45.29,46.17,47.04,17.91,18.35,18.79,19.22,19.64,20.02,20.38,20.72,21.07,21.42,21.75,22.05,22.36,22.65,22.95,23.25
TZA,United Republic of Tanzania,1.46,1.55,1.64,1.74,1.84,1.95,2.07,2.2,2.33,2.47,2.62,2.78,2.95,3.13,3.32,3.53,3.75,3.98,4.48,4.59,4.71,4.81,4.92,5.03,5.13,5.22,5.32,5.41,5.51,5.60,5.70,5.80,5.91,6.02
UGA,Uganda,0.71,0.75,0.79,0.84,0.88,0.93,0.98,1.04,1.09,1.16,1.22,1.29,1.37,1.45,1.54,1.63,1.73,1.84,2.57,2.66,2.75,2.83,2.92,3.00,3.10,3.21,3.32,3.45,3.59,3.73,3.89,4.05,4.22,4.40
