country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tonga,1.46,1.55,1.64,1.74,1.84,1.95,2.07,2.2,2.33,2.47,2.62,2.78,2.95,3.13,3.32,3.53,3.75,3.98
Trinidad and Tobago,0.71,0.75,0.79,0.84,0.88,0.93,0.98,1.04,1.09,1.16,1.22,1.29,1.37,1.45,1.54,1.63,1.73,1.84
Tunisia,14.43,14.8,15.17,15.56,15.96,16.37,16.79,17.22,17.66,18.1,18.56,19.02,19.49,19.97,20.46,20.96,21.46,21.98
Turkey,16.49,16.94,17.4,17.86,18.33,18.8,19.28,19.76,20.25,20.74,21.24,21.75,22.26,22.77,23.3,23.83,24.37,24.92
Tuvalu,23.26,24.02,24.78,25.52,26.26,26.98,27.7,28.41,29.12,29.82,30.52,31.22,31.92,32.62,33.32,34.03,34.74,35.46
United Republic of Tanzania,7.37,7.62,7.89,8.17,8.47,8.78,9.1,9.44,9.8,10.17,10.55,10.96,11.38,11.82,12.29,12.77,13.28,13.81
Uganda,8.03,8.42,8.82,9.23,9.65,10.09,10.54,11.01,11.49,11.98,12.49,13.02,13.56,14.12,14.7,15.3,15.92,16.56
Ukraine,15.24,15.69,16.13,16.56,16.99,17.41,17.84,18.25,18.66,19.06,19.47,19.87,20.28,20.7,21.12,21.54,21.98,22.42
Uruguay,0.34,0.37,0.4,0.44,0.48,0.53,0.58,0.64,0.7,0.77,0.84,0.92,1.01,1.11,1.22,1.33,1.46,1.59
United States,10.9,11.34,11.79,12.25,12.73,13.21,13.71,14.23,14.76,15.3,15.85,16.43,17.01,17.62,18.24,18.88,19.53,20.21
Uzbekistan,27.56,28.32,29.06,29.8,30.53,31.25,31.98,32.69,33.41,34.12,34.83,35.55,36.27,36.99,37.72,38.46,39.19,39.94
Saint Vincent and the Grenadines,4.87,5.15,5.43,5.74,6.05,6.38,6.73,7.09,7.48,7.89,8.32,8.77,9.24,9.74,10.25,10.8,11.37,11.96
Venezuela,7.23,7.58,7.96,8.34,8.74,9.16,9.6,10.04,10.51,10.99,11.48,11.99,12.51,13.04,13.59,14.16,14.75,15.35
Viet Nam,1.58,1.63,1.69,1.75,1.83,1.91,2,2.1,2.21,2.33,2.45,2.59,2.73,2.88,3.03,3.2,3.38,3.56
Vanuatu,2.26,2.39,2.52,2.65,2.78,2.92,3.05,3.19,3.33,3.46,3.6,3.74,3.89,4.04,4.2,4.36,4.53,4.72
Samoa,27.56,28.32,29.06,29.80,30.53,31.25,31.98,32.69,33.41,34.12,34.83,35.55,36.27,36.99,37.72,38.46,39.19,39.94
Yemen,4.87,5.15,5.43,5.74,6.05,6.38,6.73,7.09,7.48,7.89,8.32,8.77,9.24,9.74,10.25,10.80,11.37,11.96
South Africa,7.23,7.58,7.96,8.34,8.74,9.16,9.60,10.04,10.51,10.99,11.48,11.99,12.51,13.04,13.59,14.16,14.75,15.35
Zambia,1.58,1.63,1.69,1.75,1.83,1.91,2.00,2.10,2.21,2.33,2.45,2.59,2.73,2.88,3.03,3.20,3.38,3.56
Zimbabwe,2.26,2.39,2.52,2.65,2.78,2.92,3.05,3.19,3.33,3.46,3.60,3.74,3.89,4.04,4.20,4.36,4.53,4.72
