country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Costa Rica,10.04,10.53,11.05,11.6,12.17,12.77,13.39,14.03,14.68,15.35,16.04,16.73,17.44,18.15,18.86,19.59,20.33,21.06
Cuba,10.87,11.26,11.66,12.07,12.49,12.92,13.36,13.81,14.27,14.74,15.21,15.7,16.21,16.72,17.25,17.8,18.36,18.94
Cyprus,14.62,15.05,15.48,15.9,16.32,16.74,17.15,17.57,17.98,18.39,18.8,19.22,19.64,20.06,20.49,20.93,21.39,21.85
Czech Republic,19.03,19.4,19.78,20.16,20.56,20.97,21.38,21.8,22.23,22.66,23.11,23.55,24.01,24.47,24.94,25.41,25.89,26.39
Germany,16.09,16.52,16.96,17.39,17.84,18.29,18.74,19.19,19.65,20.12,20.59,21.07,21.56,22.06,22.56,23.08,23.61,24.15
Djibouti,5.02,5.19,5.36,5.53,5.71,5.9,6.09,6.28,6.48,6.69,6.9,7.11,7.34,7.57,7.81,8.07,8.33,8.61
Dominica,11.27,11.67,12.09,12.51,12.95,13.4,13.86,14.34,14.83,15.34,15.87,16.41,16.96,17.53,18.11,18.71,19.32,19.95
Denmark,14.38,14.78,15.2,15.63,16.06,16.5,16.94,17.4,17.85,18.32,18.79,19.27,19.76,20.25,20.75,21.27,21.79,22.33
Dominican Republic,9.41,9.89,10.39,10.93,11.5,12.09,12.71,13.36,14.04,14.74,15.47,16.23,16.99,17.77,18.56,19.36,20.18,20.99
Algeria,9.87,10.33,10.8,11.29,11.79,12.32,12.86,13.42,13.99,14.59,15.2,15.83,16.47,17.13,17.8,18.49,19.19,19.91
Ecuador,8.43,8.77,9.11,9.45,9.8,10.15,10.51,10.87,11.23,11.6,11.97,12.36,12.75,13.15,13.57,13.99,14.43,14.89
Egypt,13.02,13.46,13.92,14.39,14.88,15.38,15.9,16.44,16.99,17.55,18.14,18.74,19.35,19.99,20.64,21.3,21.99,22.7
Eritrea,0.79,0.83,0.88,0.93,0.98,1.04,1.1,1.16,1.22,1.29,1.37,1.44,1.53,1.62,1.71,1.81,1.92,2.04
Spain,16.87,17.29,17.72,18.15,18.59,19.03,19.47,19.92,20.37,20.82,21.28,21.73,22.19,22.66,23.13,23.6,24.08,24.57
Estonia,14,14.31,14.64,14.97,15.31,15.66,16.02,16.39,16.76,17.13,17.51,17.89,18.27,18.67,19.06,19.47,19.89,20.31
Ethiopia,0.72,0.77,0.81,0.86,0.9,0.95,1.01,1.06,1.12,1.19,1.25,1.33,1.4,1.49,1.58,1.68,1.78,1.89
Finland,15.94,16.39,16.84,17.29,17.73,18.18,18.62,19.06,19.51,19.95,20.4,20.85,21.31,21.77,22.25,22.73,23.22,23.72
Fiji,14.85,15.39,15.93,16.48,17.03,17.59,18.15,18.73,19.31,19.9,20.5,21.12,21.74,22.38,23.03,23.69,24.37,25.05
France,14.39,14.8,15.22,15.64,16.06,16.49,16.92,17.36,17.8,18.25,18.7,19.15,19.61,20.08,20.55,21.03,21.52,22.02
Micronesia (Federated States of),27.17,27.76,28.38,29.04,29.71,30.42,31.15,31.91,32.69,33.49,34.29,35.11,35.93,36.76,37.6,38.44,39.28,40.13
Gabon,4.43,4.69,4.97,5.24,5.52,5.81,6.1,6.39,6.69,6.99,7.3,7.61,7.93,8.25,8.58,8.92,9.27,9.62
